query,scope,frequency,frequency_conflict,cluster,canonical,decision,seeds,operator_queries
"просмотр телевизора без интернета","broad","630","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"раздать интернет с андроида на телевизор","broad","630","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"телевизор ру интернет","broad","630","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"беспроводной hdmi для телевизора","broad","629","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"пропал звук на телевизоре lg","broad","629","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"провод для интернета к телевизору","broad","626","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как на телевизоре настроить каналы через интернет","broad","625","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как раздать интернет на смарт телевизор","broad","624","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"как телевизор смарт тв подключить к интернету","broad","624","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"купить пульт для телевизора xiaomi","broad","624","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размеры телевизоров в зависимости от диагонали","broad","624","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор dexp hdmi","broad","624","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как убрать значок звук на телевизоре","broad","623","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"настройка интернета на телевизоре","broad","623","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор пишет без доступа к интернету","broad","623","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"включить пульт управления телевизором","broad","622","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"крепление для телевизора на стену с поворотом","broad","621","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"интернет магазин телевизоров каталог","broad","620","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"почему не работает звук на телевизоре","broad","620","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"экран ноутбука на телевизор через hdmi","broad","620","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как выключить телевизор без пульта","broad","619","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор звук 5","broad","617","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"обновить телевизор флешки","broad","615","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"какой hdmi в телевизоре","broad","614","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"подключение телевизора к компьютеру через hdmi","broad","614","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"почему телевизор без доступа к интернету","broad","614","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"смартфон интернет телевизор","broad","614","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор видит ноутбук hdmi","broad","614","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"андроид пульт телевизора самсунг","broad","613","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"интернет приставка для телевизора с wifi","broad","612","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор 80 размеры","broad","612","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор интернет 2026","broad","612","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"черный экран на телевизоре а звук есть","broad","612","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор самсунг включается пульта","broad","610","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"можно с телефона раздать интернет на телевизор","broad","609","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"размеры смарт телевизоров","broad","609","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры телевизора 98","broad","609","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"hdmi разрешение телевизора","broad","609","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как смотреть каналы на телевизоре через интернет","broad","608","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор ксяоми пульт","broad","608","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора harper","broad","607","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора hyundai h","broad","607","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора supra stv","broad","607","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"жк телевизор звук","broad","606","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"поставь пульт телевизор","broad","606","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизоры haier крепление","broad","606","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"40 дюймов телевизор размеры в см","broad","605","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"недорогой телевизор с интернетом выбрать","broad","605","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизоры ноутбуки интернет","broad","605","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"хороший пульт для телевизора","broad","605","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"наш выбор онлайн","ordered_phrase","604","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"универсальный пульт для телевизора samsung","broad","604","false","Универсальный пульт","/kak-nastroit-universalnyy-pult-dlya-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"пульт телевизора 8","broad","603","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора pro","broad","601","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"через пульт телевизор самсунг","broad","600","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как подключить пульт от приставки к телевизору","broad","598","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как найти пульт от телевизора дома","broad","597","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт телевизора lg скачать бесплатно","broad","597","false","Требует ручной оценки","","exclude","телевизор пульт","телевизор пульт"
"hdmi кабель для телевизора и приставки","broad","597","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"значок без звука на телевизоре","broad","595","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор как монитор через hdmi","broad","595","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"xuy tv","broad","593","false","Требует ручной оценки","","review","трафик телевизор","трафик телевизор"
"xuy tv","ordered_phrase","593","false","Требует ручной оценки","","review","как раздать интернет на телевизор","""[как раздать интернет на телевизор]"""
"подключение звука через hdmi телевизора","broad","592","false","Звук через HDMI","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор hdmi | телевизор звук","телевизор hdmi | телевизор звук"
"почему на телевизоре нет подключения к интернету","broad","592","false","Сеть: диагностика","/televizor-ne-podklyuchaetsya-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"купить пульт для телевизора тошиба","broad","591","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"потеряли пульт от телевизора что делать","broad","590","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"потерян пульт от телевизора что делать","broad","590","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"крепления для телевизора на стену 32 дюйма","broad","589","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"обозначение на пульте телевизора","broad","588","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"стань пультом телевизора","broad","588","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизоры цена размеры","broad","588","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"беспроводной интернет телевизор","broad","587","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"диагональ телевизора размеры в сантиметрах ширина","broad","587","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"пульт ру телевизоры","broad","587","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"какой размер телевизора нужен","broad","586","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"какой hdmi кабель для телевизора","broad","584","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"крепление для телевизора 43 дюйма","broad","584","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"можно ли на телевизор с флешки","broad","583","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"пульт для телевизора starwind","broad","578","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как смотреть тв через интернет на телевизоре","broad","575","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"крепление для телевизора 65 дюймов","broad","575","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"нет звука на телевизоре самсунг","broad","575","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"подключить новый пульт к телевизору xiaomi","broad","575","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"какие батарейки в пульте телевизора","broad","573","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора через телефон","broad","573","false","Пульт с телефона","/kak-upravlyat-televizorom-s-telefona/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"кронштейн vesa 200x200","broad","570","false","Требует ручной оценки","","review","телевизор крепление","телевизор крепление"
"кронштейн vesa 200x200","ordered_phrase","570","false","Требует ручной оценки","","review","болты для крепления телевизора","""[болты для крепления телевизора]"""
"голосовые телевизоры без пульта","broad","569","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"купить пульт для телевизора haier","broad","569","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"приставка флешка для телевизора","broad","569","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"пульт для телевизора dns","broad","569","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как вывести изображение на телевизор через hdmi","broad","567","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"подключение телефона к телевизору hdmi","broad","567","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"подключить андроид к телевизору через интернет","broad","567","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"пульт управления телевизором инструкция","broad","567","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор с пультом с цифрами","broad","566","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"подключить телевизор для просмотра через интернет","broad","564","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"пульт для телевизора мтс","broad","564","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт телевизора 6","broad","564","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор самсунг не реагирует на пульт","broad","564","false","Пульт: неисправность","/ne-rabotaet-pult-ot-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"как переключать каналы на телевизоре без пульта","broad","563","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"крепление телевизора размеры кронштейна","broad","563","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры | телевизор крепление","телевизор размеры | телевизор крепление"
"приложение пульт для телевизора для андроид","broad","563","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульты для телевизоров челябинск","broad","563","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизионная приставка для цифрового телевидения","broad","563","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как подключить тв через интернет телевизоре","broad","562","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"russia tv online цифровое телевидение","broad","562","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизор через мобильный интернет","broad","561","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"кронштейн крепления телевизора самсунг","broad","559","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"м пульт телевизора","broad","559","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт включает и выключает телевизор","broad","559","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора тувио","broad","559","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора samsung smart","broad","559","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор не выключается с пульта","broad","559","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"скачать тв пульт для телевизора","broad","558","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"65 диагональ в см ширина и высота","ordered_phrase","557","false","Требует ручной оценки","","review","размеры телевизоров в см","""[размеры телевизоров в см]"""
"как подключить пульт huayu к телевизору","broad","557","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пропал hdmi телевизор","broad","556","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как определить размер телевизора","broad","555","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"работает ли телевизор без интернета","broad","555","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"работает ли телевизор без интернета","ordered_phrase","555","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","работает ли телевизор без интернета","""[работает ли телевизор без интернета]"""
"скачать пульт управления телевизором","broad","555","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"соединим пульт с телевизором","broad","555","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"бесплатный пульт для телевизора lg","broad","554","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"заработок онлайн с телефона","ordered_phrase","554","false","Требует ручной оценки","","review","раздать интернет с телефона на телевизор","""[раздать интернет с телефона на телевизор]"""
"размер телевизора 49","broad","552","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"диагонали телевизоров и их размеры","broad","551","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как выглядит пульт от телевизора","broad","551","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"звук на телевизоре хайер","broad","550","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"как включить телевизор самсунг без пульта","broad","550","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"трансляция звука на телевизор","broad","550","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"звук телевизора 10","broad","549","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"порно пульт от телевизора","broad","549","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как пользоваться телевизором без пульта","broad","548","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"крепление на стену для телевизора 55 дюймов","broad","548","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"как выбрать хороший телевизор с интернетом","broad","546","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"пульт для телевизора сони бравиа","broad","546","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"включи звук через телевизор","broad","544","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"где купить пульт телевизора адрес","broad","542","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как включить телевизор без пульта и кнопок","broad","542","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как вывести ноутбук на телевизор через hdmi","broad","541","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"порт hdmi на телевизоре","broad","541","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"шдмай кабель","broad","541","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"смарт телевизор интернет wifi","broad","539","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"продажа пультов для телевизоров","broad","538","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора daewoo","broad","537","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор не грузит интернет","broad","537","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"vga hdmi телевизор","broad","537","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизоры интернетом philips","broad","536","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"как подобрать размер телевизора","broad","534","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как привязать новый пульт к телевизору","broad","534","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"настенный кронштейн крепления телевизора","broad","534","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"пульт для телевизора huayu rm","broad","534","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"наклонное крепление для телевизора","broad","533","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"размеры телевизора 24 дюйма ширина","broad","532","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"hdmi кабель видит телевизор","broad","532","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"покажи телевизор без интернета","broad","531","false","Без интернета","/kak-smotret-televizor-bez-interneta/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"размер подставки телевизора","broad","531","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"таблица размеров телевизоров ширина","broad","531","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"яндекс телевизор флешка","broad","531","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как проверить пульт от телевизора на работоспособность","broad","529","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для телевизора триколор","broad","529","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт не переключает каналы на телевизоре","broad","528","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"универсальный пульт для телевизора онлайн","broad","528","false","Универсальный пульт","/kak-nastroit-universalnyy-pult-dlya-televizora/","candidate_mapping_review_required","телевизор пульт","телевизор пульт"
"включай телевизор через hdmi","broad","527","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"кнопка настройки на пульте телевизора","broad","527","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт для смарт телевизора lg","broad","526","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"размеры дюймовых телевизоров в сантиметрах","broad","526","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как настроить антенну на пульте телевизора","broad","525","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"тв приставка для телевизора через интернет","broad","525","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"телевизоры sony hdmi","broad","524","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"интерактивное тв что это","broad","523","false","Требует ручной оценки","","review","трафик телевизор","трафик телевизор"
"интерактивное тв что это","ordered_phrase","523","false","Требует ручной оценки","","review","работает ли телевизор без интернета","""[работает ли телевизор без интернета]"""
"пульт для телевизора лж","broad","523","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"винты для крепления телевизора к кронштейну","broad","522","false","Винты и болты","/vinty-dlya-krepleniya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"пульт для телевизора shivaki","broad","522","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"пульт про телевизор","broad","522","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор дексп интернет","broad","522","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"привязка пульта к телевизору","broad","521","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"упаковка телевизор размеры","broad","521","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"hdmi 2 1 телевизор","broad","521","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"hdmi вывод на телевизор","broad","521","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"пульт для телевизора haier smart","broad","520","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор 70 дюймов размеры","broad","520","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизоры для просмотра интернет тв","broad","520","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"android пульт для телевизора","broad","520","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"как настроить каналы на телевизоре без пульта","broad","519","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"подключить вай фай пульт к телевизору","broad","519","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"подключить телевизор к интернету через телефон андроид","broad","519","false","Подключение интернета","/kak-podklyuchit-televizor-k-internetu/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"яндекс телевизор размеры","broad","518","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"пульт для телевизора polarline","broad","517","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"телевизор диагональ какие бывают размеры","broad","517","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как соединить пульт с телевизором","broad","516","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"можно ли включить телевизор без пульта","broad","516","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"раздать интернет с телефона на телевизор андроид","broad","515","false","Раздача с телефона","/kak-razdat-internet-s-telefona-na-televizor/","candidate_mapping_review_required","телевизор интернет","телевизор интернет"
"hdmi пк подключение телевизор","broad","515","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"каналы через интернет на телевизоре бесплатно","broad","514","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"погас телевизор звук есть","broad","514","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"нужен ли телевизору интернет","broad","513","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
"почему телевизор не показывает а звук есть","broad","513","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор м интернетом","broad","513","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
